Company,Company public response,State,ZIP code,Company response to consumer,Complaint ID
EXPERIAN DELAWARE GP,Company chooses not to provide a public response,NC,27703,Closed with explanation,1776912
SPEEDY CASH INTERMEDIATE HOLDINGS CORP,NA,TX,773XX,Closed with explanation,2444768
American Credit Acceptance LLC,Company believes it acted appropriately as authorized by contract or law,TX,76210,Closed with explanation,2437313
CITIBANK N.A.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,LA,71292,Closed with non-monetary relief,2389782
JPMORGAN CHASE & CO.,NA,MD,20772,Closed with explanation,2439594
ONEMAIN FINANCIAL HOLDINGS LLC.,NA,NC,27597,Closed with explanation,2371691
BANK OF AMERICA NATIONAL ASSOCIATION,Company has responded to the consumer and the CFPB and chooses not to provide a public response,NY,11221,Closed with explanation,2437915
JPMORGAN CHASE & CO.,NA,KY,423XX,Closed with explanation,2371744
EXPERIAN DELAWARE GP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,FL,34275,Closed with explanation,2397793
OCWEN LOAN SERVICING LLC,NA,CO,802XX,Closed with explanation,2444582
Navient Solutions LLC.,NA,OK,741XX,Closed with explanation,2371928
OCWEN LOAN SERVICING LLC,NA,WA,98223,Closed with explanation,2424942
EQUIFAX INC.,NA,PA,19148,Closed with explanation,2371893
LoanCare LLC,Company has responded to the consumer and the CFPB and chooses not to provide a public response,VA,23113,Closed with explanation,2440213
TRANSUNION INTERMEDIATE HOLDINGS INC.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,NC,28016,Closed with explanation,2491746
BANK OF AMERICA NATIONAL ASSOCIATION,NA,CA,92879,Closed with explanation,1084242
U.S. BANCORP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,CA,928XX,Closed with explanation,2431565
AMERICAN EXPRESS CENTURION BANK,NA,GA,30030,Closed with monetary relief,2443256
EXPERIAN DELAWARE GP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,WI,53405,Closed with explanation,2398113
BANK OF AMERICA NATIONAL ASSOCIATION,Company has responded to the consumer and the CFPB and chooses not to provide a public response,AZ,85296,Closed with monetary relief,2425048
Alpine Credit Inc,NA,CO,80017,Closed with explanation,1706577
EXPERIAN DELAWARE GP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,NC,28216,Closed with non-monetary relief,2398377
EXPERIAN DELAWARE GP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,PA,190XX,Closed with explanation,2398200
BANK OF AMERICA NATIONAL ASSOCIATION,Company has responded to the consumer and the CFPB and chooses not to provide a public response,MI,48623,Closed with explanation,2441825
JPMORGAN CHASE & CO.,NA,NC,28731,Closed with explanation,2371632
WELLS FARGO BANK NATIONAL ASSOCIATION,Company has responded to the consumer and the CFPB and chooses not to provide a public response,CA,93550,Closed with explanation,2443560
BANK OF AMERICA NATIONAL ASSOCIATION,Company has responded to the consumer and the CFPB and chooses not to provide a public response,DC,200XX,Closed with explanation,2447351
EQUIFAX INC.,NA,NJ,7843,Closed with non-monetary relief,2371789
BANK OF AMERICA NATIONAL ASSOCIATION,Company has responded to the consumer and the CFPB and chooses not to provide a public response,WA,98532,Closed with explanation,2381695
BANK OF AMERICA NATIONAL ASSOCIATION,Company has responded to the consumer and the CFPB and chooses not to provide a public response,WA,98052,Closed with explanation,2416625
Comerica,NA,NC,28405,Closed with explanation,2371634
BANK OF AMERICA NATIONAL ASSOCIATION,Company has responded to the consumer and the CFPB and chooses not to provide a public response,MD,20746,Closed with non-monetary relief,2421775
JPMORGAN CHASE & CO.,NA,TN,376XX,Closed with monetary relief,2371616
DISCOVER BANK,NA,NJ,8902,Closed with explanation,2418794
BANK OF AMERICA NATIONAL ASSOCIATION,NA,NY,11218,Closed with explanation,139273
CARRINGTON MORTGAGE SERVICES,NA,NJ,7747,Closed with explanation,2380778
EQUIFAX INC.,NA,NJ,7701,Closed with explanation,2487189
EQUIFAX INC.,NA,PA,17019,Closed with explanation,2480232
Fidelity National Information Services Inc. (FNIS),Company has responded to the consumer and the CFPB and chooses not to provide a public response,ME,4747,Closed with explanation,2440513
SYNCHRONY BANK,Company has responded to the consumer and the CFPB and chooses not to provide a public response,WA,25302,Closed with monetary relief,2444790
JPMORGAN CHASE & CO.,NA,PA,19422,Closed with explanation,2442270
JH Portfolio Debt Equities LLC,NA,TX,752XX,Closed with explanation,2444577
SYNCHRONY BANK,Company has responded to the consumer and the CFPB and chooses not to provide a public response,TX,775XX,Closed with non-monetary relief,2444123
EXPERIAN DELAWARE GP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,GA,30309,Closed with explanation,2399982
National Credit SystemsInc.,Company believes it acted appropriately as authorized by contract or law,GA,300XX,Closed with explanation,2373228
BANK OF AMERICA NATIONAL ASSOCIATION,Company has responded to the consumer and the CFPB and chooses not to provide a public response,CT,6484,Closed with monetary relief,2425815
WELLS FARGO BANK NATIONAL ASSOCIATION,Company has responded to the consumer and the CFPB and chooses not to provide a public response,TX,750XX,Closed with explanation,2436277
PNC Bank N.A.,NA,AL,36587,Closed with explanation,2475321
TRANSUNION INTERMEDIATE HOLDINGS INC.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,PA,19134,Closed with non-monetary relief,2490991
TRANSUNION INTERMEDIATE HOLDINGS INC.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,CA,91020,Closed with explanation,2440804
EQUIFAX INC.,NA,TX,75035,Closed with explanation,2488530
PRESTIGE FINANCIAL SERVICES INC,NA,IL,60653,Closed with explanation,2371938
UNITED SERVICES AUTOMOBILE ASSOCIATION,Company believes complaint is the result of an isolated error,TX,78727,Closed with monetary relief,2444855
FINEX Group LLC,NA,CA,953XX,Closed with explanation,1914423
Levy and Associates LLC,NA,OH,43235,Closed with explanation,2371593
ONEMAIN FINANCIAL HOLDINGS LLC.,NA,NC,27597,Closed with explanation,2371642
CITIBANK N.A.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,CO,80221,Closed with explanation,2437474
UNITED SERVICES AUTOMOBILE ASSOCIATION,Company believes it acted appropriately as authorized by contract or law,PA,15963,Closed with explanation,2440352
Concentric Receivables Management Ltd.,NA,TX,775XX,Closed with explanation,2444285
OCWEN LOAN SERVICING LLC,NA,MI,48320,Closed with explanation,215643
URS Holding LLC,NA,TN,379XX,Closed with explanation,2446884
ALLY FINANCIAL INC.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,CA,926XX,Closed with explanation,2426136
BBVA COMPASS FINANCIAL CORPORATION,NA,MA,2151,Closed with monetary relief,2439654
Dovenmuehle Mortgage Inc.,NA,CT,6360,Closed with explanation,2369802
BARCLAYS BANK DELAWARE,Company has responded to the consumer and the CFPB and chooses not to provide a public response,TX,79607,Closed with explanation,2423941
EXPERT GLOBAL SOLUTIONS INC.,NA,NA,NA,Closed with explanation,2364897
UNITED SERVICES AUTOMOBILE ASSOCIATION,Company believes complaint is the result of an isolated error,NY,11967,Closed with explanation,2441457
Ditech Financial LLC,NA,FL,34714,Closed with explanation,924254
CAPITAL ONE FINANCIAL CORPORATION,NA,MD,20852,Closed with explanation,2371846
EQUIFAX INC.,NA,GA,30122,Closed with explanation,2371764
EQUIFAX INC.,NA,TX,77079,Closed with explanation,2488334
EXPERIAN DELAWARE GP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,FL,33060,Closed with non-monetary relief,2497289
ONEMAIN FINANCIAL HOLDINGS LLC.,NA,IL,60188,Closed with explanation,2425528
WINN LAW GROUP APC,NA,CA,956XX,Closed with explanation,2424184
ENCORE CAPITAL GROUP INC.,NA,OH,43613,Closed with explanation,2424950
TRANSUNION INTERMEDIATE HOLDINGS INC.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,NV,89031,Closed with explanation,1901482
EQUIFAX INC.,NA,IN,46226,Closed with non-monetary relief,2416121
Source Receivables Management LLC,Company believes it acted appropriately as authorized by contract or law,IN,47807,Closed with explanation,2414034
BANK OF AMERICA NATIONAL ASSOCIATION,Company has responded to the consumer and the CFPB and chooses not to provide a public response,MP,554XX,Closed with explanation,2412732
SPEEDY CASH INTERMEDIATE HOLDINGS CORP,NA,CA,935XX,Closed with explanation,2481686
AMCOL Systems Inc.,NA,TX,76131,Closed with explanation,2491541
TRANSUNION INTERMEDIATE HOLDINGS INC.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,NY,11219,Closed with explanation,2490912
JPMORGAN CHASE & CO.,NA,OK,730XX,Closed with explanation,2491020
ZIONS BANCORPORATION,Company has responded to the consumer and the CFPB and chooses not to provide a public response,AZ,852XX,Closed with monetary relief,2447348
Colony Brands Inc.,NA,NC,278XX,Untimely response,2329445
CARRINGTON MORTGAGE SERVICES,NA,FL,33441,Closed with explanation,2424946
MORTGAGE 4 U LLC,Company believes the complaint is the result of a misunderstanding,VA,20176,Closed with explanation,2390487
TRANSWORLD SYSTEMS INC,NA,FL,330XX,Closed with explanation,2444869
SUNTRUST BANKS INC.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,GA,300XX,Closed with monetary relief,2442124
ONE REVERSE MORTGAGE LLC,NA,NJ,8832,Closed with explanation,2428039
AR Resources Inc.,NA,FL,322XX,Closed with explanation,2445935
Resurgent Capital Services L.P.,NA,MI,48219,Closed with explanation,1989521
AES/PHEAA,NA,TN,381XX,Closed with explanation,2371677
NETSPEND CORPORATION,Company believes it acted appropriately as authorized by contract or law,TX,76053,Closed with explanation,2438333
APEX Asset Management LLC,NA,NJ,8031,Closed,460443
SYNCHRONY BANK,NA,NJ,8901,Closed with monetary relief,1179936
Law Offices of Goldsmith & Hull A.P.C.,NA,CA,90008,Closed with explanation,1263989
RR Resource-Recovery,NA,NY,13760,Closed with explanation,2223190
Pendrick Capital Partners Holding LLC,NA,WI,53224,Closed with explanation,2424358
ALLY FINANCIAL INC.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,TN,37650,Closed with explanation,2425260
ALLY FINANCIAL INC.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,GA,30047,Closed with explanation,2417442
CITIBANK N.A.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,NY,11226,Closed with explanation,2422048
EQUIFAX INC.,NA,NY,14610,Closed with explanation,2371598
EXPERIAN DELAWARE GP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,CA,93313,Closed with explanation,2397947
TRANSUNION INTERMEDIATE HOLDINGS INC.,NA,FL,33928,Closed with explanation,1009652
BANK OF AMERICA NATIONAL ASSOCIATION,Company has responded to the consumer and the CFPB and chooses not to provide a public response,MA,024XX,Closed with explanation,2419713
CITIBANK N.A.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,DC,20009,Closed with non-monetary relief,2443056
EXPERIAN DELAWARE GP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,NY,11226,Closed with non-monetary relief,2397805
ALLY FINANCIAL INC.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,IL,600XX,Closed with explanation,2420825
Quality Recovery Services Inc.,NA,GA,30014,Closed with explanation,1849932
WELLS FARGO BANK NATIONAL ASSOCIATION,Company has responded to the consumer and the CFPB and chooses not to provide a public response,PA,182XX,Closed with explanation,2401871
EXPERIAN DELAWARE GP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,IL,605XX,Closed with non-monetary relief,2397046
WELLS FARGO BANK NATIONAL ASSOCIATION,Company has responded to the consumer and the CFPB and chooses not to provide a public response,MN,55439,Closed with explanation,2446753
Specialized Loan Servicing LLC,Company has responded to the consumer and the CFPB and chooses not to provide a public response,VA,24212,Closed with explanation,2439229
WELLS FARGO BANK NATIONAL ASSOCIATION,NA,CA,94590,Closed with explanation,224922
Ditech Financial LLC,Company believes it acted appropriately as authorized by contract or law,MI,48328,Closed with explanation,2371574
Southwest Credit Systems L.P.,NA,ME,4069,Closed with explanation,2371781
AES/PHEAA,NA,NA,NA,Closed with explanation,2367674
Bursey & Associates P.C.,NA,AZ,85295,Closed with explanation,2367513
NCC Business Services Inc.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,TX,775XX,Closed with explanation,2372209
Results Unlimited Inc.,NA,VA,224XX,Closed with non-monetary relief,2371864
SCHOOLSFIRST FEDERAL CREDIT UNION,Company believes it acted appropriately as authorized by contract or law,CA,92694,Closed with explanation,2444609
BARCLAYS BANK DELAWARE,Company has responded to the consumer and the CFPB and chooses not to provide a public response,TX,77407,Closed with explanation,2436789
SYNCHRONY BANK,NA,CA,91108,Closed with explanation,215434
Alpine Credit Inc,Company disputes the facts presented in the complaint,AR,729XX,Closed with explanation,2383241
U.S. BANCORP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,WI,532XX,Closed with non-monetary relief,2437217
JPMORGAN CHASE & CO.,NA,CA,91913,Closed with monetary relief,2432049
ONEMAIN FINANCIAL HOLDINGS LLC.,NA,NJ,7111,Closed with explanation,2374511
BANK OF AMERICA NATIONAL ASSOCIATION,Company has responded to the consumer and the CFPB and chooses not to provide a public response,NY,100XX,Closed with explanation,2412744
SYNCHRONY BANK,NA,CA,91602,Closed with explanation,1077763
Navient Solutions LLC.,NA,SC,294XX,Closed with explanation,2443963
CITIBANK N.A.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,NY,10001,Closed with explanation,2443667
ENCORE CAPITAL GROUP INC.,NA,MD,21244,Closed with non-monetary relief,2371786
U.S. BANCORP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,MO,64081,Closed with monetary relief,2440060
Credit Card Receivables Fund Incorporated,NA,NC,27597,Closed with explanation,2371600
CITIBANK N.A.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,MD,21215,Closed with non-monetary relief,2440304
EQUIFAX INC.,NA,AZ,85296,Closed with explanation,2199513
CITIBANK N.A.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,WV,25156,Closed with explanation,2408024
SUNTRUST BANKS INC.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,TN,38134,Closed with explanation,2437746
EXPERIAN DELAWARE GP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,VA,23228,Closed with explanation,2397083
PORTFOLIO RECOVERY ASSOCIATES INC,NA,NY,11729,Closed with explanation,2371838
21ST MORTGAGE CORP.,NA,NY,11368,Closed with explanation,2442948
Navient Solutions LLC.,NA,VT,056XX,Closed with explanation,2371894
Ditech Financial LLC,NA,MO,657XX,Closed with explanation,2446051
WELLS FARGO BANK NATIONAL ASSOCIATION,Company has responded to the consumer and the CFPB and chooses not to provide a public response,AL,35022,Closed with explanation,2030435
BANK OF AMERICA NATIONAL ASSOCIATION,Company has responded to the consumer and the CFPB and chooses not to provide a public response,CA,958XX,Closed with monetary relief,2420310
Shellpoint Partners LLC,Company believes it acted appropriately as authorized by contract or law,CA,900XX,Closed with explanation,2443835
Alpine Credit Inc,Company believes it acted appropriately as authorized by contract or law,CO,802XX,Closed with explanation,2446421
CITIBANK N.A.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,NC,280XX,Closed with non-monetary relief,2446941
Hunter Warfield Inc.,Company believes the complaint is the result of a misunderstanding,FL,325XX,Closed with explanation,2443719
EXPERIAN DELAWARE GP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,WI,53405,Closed with non-monetary relief,2396771
U.S. BANCORP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,FL,33462,Closed with explanation,2444186
TENET HEALTHCARE CORPORATION,Company believes it acted appropriately as authorized by contract or law,TX,785XX,Closed with explanation,2375350
Advanced Resolution Services Inc.,NA,CA,935XX,Closed,2371763
HSBC NORTH AMERICA HOLDINGS INC.,NA,ID,83634,Closed with explanation,2371801
TD BANK US HOLDING COMPANY,NA,AZ,85209,Closed,734298
WESTERN UNION COMPANY THE,NA,FL,33330,Closed with explanation,2441416
EXPERIAN DELAWARE GP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,TX,78244,Closed with explanation,2399547
CITIBANK N.A.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,TX,77521,Closed with explanation,2438812
PORTFOLIO RECOVERY ASSOCIATES INC,NA,PA,163XX,Closed with explanation,2371775
BARCLAYS BANK DELAWARE,Company has responded to the consumer and the CFPB and chooses not to provide a public response,VA,234XX,Closed with explanation,2426957
EQUIFAX INC.,NA,VA,22303,Closed,2371883
EXPERIAN DELAWARE GP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,GA,30127,Closed with non-monetary relief,2397557
JPMORGAN CHASE & CO.,NA,NJ,087XX,Closed with non-monetary relief,2371956
Convergent Resources Inc.,NA,AZ,850XX,Closed with explanation,2371657
BANK OF AMERICA NATIONAL ASSOCIATION,Company has responded to the consumer and the CFPB and chooses not to provide a public response,GA,30013,Closed with explanation,2378338
Navient Solutions LLC.,NA,IL,606XX,Closed with explanation,2371669
Specialized Loan Servicing LLC,Company has responded to the consumer and the CFPB and chooses not to provide a public response,VA,22306,Closed with explanation,2439459
Dynamic Recovery Solutions LLC,Company believes the complaint is the result of a misunderstanding,NJ,7080,Closed with non-monetary relief,2439983
MONEYGRAM PAYMENT SYSTEMS WORLDWIDE INC,NA,FL,333XX,Closed with explanation,2371708
KEYCORP,NA,OR,974XX,Closed with explanation,2371825
BANK OF AMERICA NATIONAL ASSOCIATION,Company has responded to the consumer and the CFPB and chooses not to provide a public response,NC,28216,Closed with explanation,2420513
Alpine Credit Inc,NA,CO,800XX,Closed with explanation,1699163
TCF NATIONAL BANK,Company believes it acted appropriately as authorized by contract or law,IL,60631,Closed with explanation,2431865
Navient Solutions LLC.,NA,CA,926XX,Closed with explanation,2371733
WORLD ACCEPTANCE CORPORATION,NA,SC,297XX,Closed with explanation,2223187
RGS Financial Inc.,Company believes it acted appropriately as authorized by contract or law,KS,672XX,Closed with explanation,2446065
ALLY FINANCIAL INC.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,MN,55444,Closed with explanation,2416891
U.S. BANCORP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,WA,98031,Closed with explanation,2446274
National Principal Group LLC,NA,ME,042XX,Closed with explanation,2278990
Navient Solutions LLC.,NA,NY,112XX,Closed with explanation,2371890
TRANSUNION INTERMEDIATE HOLDINGS INC.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,NC,27862,Closed with explanation,2386851
Sentry Credit Inc.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,CA,900XX,Closed with explanation,2394086
D. SCOTT CARRUTHERS,NA,CA,921XX,Untimely response,2266823
BARCLAYS BANK DELAWARE,Company has responded to the consumer and the CFPB and chooses not to provide a public response,CA,932XX,Closed with explanation,2433297
Hunter Warfield Inc.,Company believes the complaint is the result of a misunderstanding,MD,21720,Closed with explanation,2445605
GENERAL MOTORS FINANCIAL COMPANY INC.,NA,IL,606XX,Closed with explanation,1697827
EQUIFAX INC.,NA,NC,287XX,Closed with explanation,2371831
EXPERIAN DELAWARE GP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,OH,44133,Closed with non-monetary relief,2397098
CAPITAL ONE FINANCIAL CORPORATION,NA,NJ,7304,Closed with explanation,2397110
BANK OF AMERICA NATIONAL ASSOCIATION,Company has responded to the consumer and the CFPB and chooses not to provide a public response,FL,33905,Closed with explanation,2440139
BANK OF AMERICA NATIONAL ASSOCIATION,Company has responded to the consumer and the CFPB and chooses not to provide a public response,GA,300XX,Closed with monetary relief,2436309
BMW Financial Services NA LLC,NA,FL,34786,Closed with explanation,2420218
EQUIFAX INC.,NA,FL,33830,Closed with explanation,2371668
BANK OF AMERICA NATIONAL ASSOCIATION,Company has responded to the consumer and the CFPB and chooses not to provide a public response,CA,91203,Closed with monetary relief,2377534
REGIONS BANK,Company has responded to the consumer and the CFPB and chooses not to provide a public response,IL,62234,Closed with monetary relief,2440144
Express Aviation,NA,TX,78208,Closed with monetary relief,2280793
JPMORGAN CHASE & CO.,NA,NY,100XX,Closed with explanation,2443455
ALLY FINANCIAL INC.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,IL,600XX,Closed with explanation,2424250
Dovenmuehle Mortgage Inc.,NA,SC,297XX,Closed with explanation,2447529
JPMORGAN CHASE & CO.,NA,NY,10006,Closed with explanation,2440660
Hunter Warfield Inc.,Company believes the complaint is the result of a misunderstanding,CO,80012,Closed with explanation,2441801
CONSUMER PORTFOLIO SERVICES INC.,NA,MN,55419,Closed with non-monetary relief,1030375
TRANSUNION INTERMEDIATE HOLDINGS INC.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,IL,604XX,Closed with explanation,2447205
BANK OF AMERICA NATIONAL ASSOCIATION,Company has responded to the consumer and the CFPB and chooses not to provide a public response,TX,75089,Closed with monetary relief,2447714
BANK OF THE WEST,Company has responded to the consumer and the CFPB and chooses not to provide a public response,CA,91745,Closed with explanation,2440657
BANK OF AMERICA NATIONAL ASSOCIATION,Company has responded to the consumer and the CFPB and chooses not to provide a public response,CA,92056,Closed with explanation,2422888
BANK OF AMERICA NATIONAL ASSOCIATION,Company has responded to the consumer and the CFPB and chooses not to provide a public response,DC,20002,Closed with explanation,2413477
ZIONS BANCORPORATION,Company has responded to the consumer and the CFPB and chooses not to provide a public response,AZ,86409,Closed with explanation,2443331
EXPERIAN DELAWARE GP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,AP,96375,Closed with non-monetary relief,2397154
National Credit SystemsInc.,Company believes it acted appropriately as authorized by contract or law,TX,750XX,Closed with explanation,2379040
DISCOVER BANK,NA,MT,59624,Closed with explanation,2412549
TRANSUNION INTERMEDIATE HOLDINGS INC.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,TX,773XX,Closed with explanation,2444620
JPMORGAN CHASE & CO.,NA,MI,48382,Closed with explanation,418505
Professional Debt Mediation Inc.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,CO,80817,Closed with explanation,2445232
AMERICAN EXPRESS CENTURION BANK,NA,NE,68118,Closed with explanation,2444254
DISCOVER BANK,NA,VA,23804,Closed with explanation,2433235
WELLS FARGO BANK NATIONAL ASSOCIATION,NA,NY,12047,Closed with explanation,1251272
Ditech Financial LLC,NA,FL,342XX,Closed with explanation,2371656
CITIZENS FINANCIAL GROUP INC.,NA,PA,17602,Closed with explanation,2371577
Performant Financial Corporation,Company has responded to the consumer and the CFPB and chooses not to provide a public response,CO,80013,Closed with explanation,2419045
Blatt Hasenmiller Leibsker & Moore LLC,Company believes it acted appropriately as authorized by contract or law,IL,62640,Closed with explanation,2446017
CarFinance Capital LLC,Company has responded to the consumer and the CFPB and chooses not to provide a public response,WA,98272,Closed with explanation,2443729
BARCLAYS BANK DELAWARE,Company has responded to the consumer and the CFPB and chooses not to provide a public response,CA,93940,Closed with explanation,2439723
EXPERIAN DELAWARE GP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,MO,63042,Closed with explanation,2399157
Credence Resource Management LLC,Company has responded to the consumer and the CFPB and chooses not to provide a public response,CA,925XX,Closed with explanation,2092269
M&T BANK CORPORATION,Company has responded to the consumer and the CFPB and chooses not to provide a public response,NC,28539,Closed with explanation,2443431
National Credit SystemsInc.,Company believes it acted appropriately as authorized by contract or law,NC,27519,Closed with explanation,2378707
PAYPAL HOLDINGS INC.,NA,DC,200XX,Closed with non-monetary relief,2371784
CITIBANK N.A.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,CA,94805,Closed with explanation,2447149
WELLS FARGO BANK NATIONAL ASSOCIATION,Company has responded to the consumer and the CFPB and chooses not to provide a public response,MD,207XX,Closed with explanation,2420235
Telerecovery Corporation,Company has responded to the consumer and the CFPB and chooses not to provide a public response,LA,70560,Closed with explanation,2417259
TRANSUNION INTERMEDIATE HOLDINGS INC.,NA,GA,30044,Closed with explanation,918977
JPMORGAN CHASE & CO.,NA,NY,11771,Closed with explanation,2415992
Alliance Data Card Services,NA,GA,302XX,Closed with monetary relief,2371681
CAPITAL ONE FINANCIAL CORPORATION,NA,NY,10301,Closed with explanation,2416676
MORTGAGE SOLUTIONS OF COLORADO,NA,TX,770XX,Closed with explanation,2371603
EXPERIAN DELAWARE GP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,NY,11434,Closed with explanation,2397489
Collection Bureau Services Inc.,NA,ID,837XX,Closed with explanation,2371772
WELLS FARGO BANK NATIONAL ASSOCIATION,Company has responded to the consumer and the CFPB and chooses not to provide a public response,NJ,086XX,Closed with explanation,2382679
Blakely-Witt and Associates Inc.,Company believes it acted appropriately as authorized by contract or law,TX,77078,Closed with explanation,2419538
Ditech Financial LLC,NA,NA,NA,Closed with explanation,2391064
OCWEN LOAN SERVICING LLC,NA,FL,32716,Closed with explanation,620269
OCWEN LOAN SERVICING LLC,NA,CA,917XX,Closed with explanation,2371705
Seterus Inc.,NA,MN,55449,Closed with explanation,2371643
BARCLAYS BANK DELAWARE,Company has responded to the consumer and the CFPB and chooses not to provide a public response,IL,098XX,Closed with explanation,2426335
WELLS FARGO BANK NATIONAL ASSOCIATION,Company has responded to the consumer and the CFPB and chooses not to provide a public response,NY,11214,Closed with explanation,2388517
Allen & Withrow,NA,AR,72701,Closed with explanation,1165478
Credit Systems International Inc.,NA,TX,752XX,Closed with explanation,2446160
BANK OF AMERICA NATIONAL ASSOCIATION,Company has responded to the consumer and the CFPB and chooses not to provide a public response,FL,33908,Closed with explanation,2440707
FINEX Group LLC,NA,CA,93703,Closed with explanation,945040
UNITED SERVICES AUTOMOBILE ASSOCIATION,Company believes it acted appropriately as authorized by contract or law,FL,32878,Closed with explanation,2441092
ALLY FINANCIAL INC.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,CA,95207,Closed with explanation,2416373
FIRST HAWAIIAN INC.,Company believes complaint represents an opportunity for improvement to better serve consumers,VA,220XX,Closed with explanation,2417043
ALLY FINANCIAL INC.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,GA,30236,Closed with explanation,2405086
TCF NATIONAL BANK,Company believes it acted appropriately as authorized by contract or law,IL,60631,Closed with explanation,2427124
