Company,Company public response,State,ZIP code,Company response to consumer,Complaint ID
EXPERIAN DELAWARE GP,Company chooses not to provide a public response,NC,27703,Closed with explanation,1776912
SPEEDY CASH INTERMEDIATE HOLDINGS CORP,,TX,773XX,Closed with explanation,2444768
"American Credit Acceptance, LLC",Company believes it acted appropriately as authorized by contract or law,TX,76210,Closed with explanation,2437313
"CITIBANK, N.A.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,LA,71292,Closed with non-monetary relief,2389782
JPMORGAN CHASE & CO.,,MD,20772,Closed with explanation,2439594
"ONEMAIN FINANCIAL HOLDINGS, LLC.",,NC,27597,Closed with explanation,2371691
"BANK OF AMERICA, NATIONAL ASSOCIATION",Company has responded to the consumer and the CFPB and chooses not to provide a public response,NY,11221,Closed with explanation,2437915
JPMORGAN CHASE & CO.,,KY,423XX,Closed with explanation,2371744
EXPERIAN DELAWARE GP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,FL,34275,Closed with explanation,2397793
OCWEN LOAN SERVICING LLC,,CO,802XX,Closed with explanation,2444582
"Navient Solutions, LLC.",,OK,741XX,Closed with explanation,2371928
OCWEN LOAN SERVICING LLC,,WA,98223,Closed with explanation,2424942
"EQUIFAX, INC.",,PA,19148,Closed with explanation,2371893
"LoanCare, LLC",Company has responded to the consumer and the CFPB and chooses not to provide a public response,VA,23113,Closed with explanation,2440213
"TRANSUNION INTERMEDIATE HOLDINGS, INC.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,NC,28016,Closed with explanation,2491746
"BANK OF AMERICA, NATIONAL ASSOCIATION",,CA,92879,Closed with explanation,1084242
U.S. BANCORP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,CA,928XX,Closed with explanation,2431565
AMERICAN EXPRESS CENTURION BANK,,GA,30030,Closed with monetary relief,2443256
EXPERIAN DELAWARE GP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,WI,53405,Closed with explanation,2398113
"BANK OF AMERICA, NATIONAL ASSOCIATION",Company has responded to the consumer and the CFPB and chooses not to provide a public response,AZ,85296,Closed with monetary relief,2425048
"Alpine Credit, Inc",,CO,80017,Closed with explanation,1706577
EXPERIAN DELAWARE GP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,NC,28216,Closed with non-monetary relief,2398377
EXPERIAN DELAWARE GP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,PA,190XX,Closed with explanation,2398200
"BANK OF AMERICA, NATIONAL ASSOCIATION",Company has responded to the consumer and the CFPB and chooses not to provide a public response,MI,48623,Closed with explanation,2441825
JPMORGAN CHASE & CO.,,NC,28731,Closed with explanation,2371632
"WELLS FARGO BANK, NATIONAL ASSOCIATION",Company has responded to the consumer and the CFPB and chooses not to provide a public response,CA,93550,Closed with explanation,2443560
"BANK OF AMERICA, NATIONAL ASSOCIATION",Company has responded to the consumer and the CFPB and chooses not to provide a public response,DC,200XX,Closed with explanation,2447351
"EQUIFAX, INC.",,NJ,7843,Closed with non-monetary relief,2371789
"BANK OF AMERICA, NATIONAL ASSOCIATION",Company has responded to the consumer and the CFPB and chooses not to provide a public response,WA,98532,Closed with explanation,2381695
"BANK OF AMERICA, NATIONAL ASSOCIATION",Company has responded to the consumer and the CFPB and chooses not to provide a public response,WA,98052,Closed with explanation,2416625
Comerica,,NC,28405,Closed with explanation,2371634
"BANK OF AMERICA, NATIONAL ASSOCIATION",Company has responded to the consumer and the CFPB and chooses not to provide a public response,MD,20746,Closed with non-monetary relief,2421775
JPMORGAN CHASE & CO.,,TN,376XX,Closed with monetary relief,2371616
DISCOVER BANK,,NJ,8902,Closed with explanation,2418794
"BANK OF AMERICA, NATIONAL ASSOCIATION",,NY,11218,Closed with explanation,139273
CARRINGTON MORTGAGE SERVICES,,NJ,7747,Closed with explanation,2380778
"EQUIFAX, INC.",,NJ,7701,Closed with explanation,2487189
"EQUIFAX, INC.",,PA,17019,Closed with explanation,2480232
"Fidelity National Information Services, Inc. (FNIS)",Company has responded to the consumer and the CFPB and chooses not to provide a public response,ME,4747,Closed with explanation,2440513
SYNCHRONY BANK,Company has responded to the consumer and the CFPB and chooses not to provide a public response,WA,25302,Closed with monetary relief,2444790
JPMORGAN CHASE & CO.,,PA,19422,Closed with explanation,2442270
"JH Portfolio Debt Equities, LLC",,TX,752XX,Closed with explanation,2444577
SYNCHRONY BANK,Company has responded to the consumer and the CFPB and chooses not to provide a public response,TX,775XX,Closed with non-monetary relief,2444123
EXPERIAN DELAWARE GP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,GA,30309,Closed with explanation,2399982
"National Credit Systems,Inc.",Company believes it acted appropriately as authorized by contract or law,GA,300XX,Closed with explanation,2373228
"BANK OF AMERICA, NATIONAL ASSOCIATION",Company has responded to the consumer and the CFPB and chooses not to provide a public response,CT,6484,Closed with monetary relief,2425815
"WELLS FARGO BANK, NATIONAL ASSOCIATION",Company has responded to the consumer and the CFPB and chooses not to provide a public response,TX,750XX,Closed with explanation,2436277
PNC Bank N.A.,,AL,36587,Closed with explanation,2475321
"TRANSUNION INTERMEDIATE HOLDINGS, INC.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,PA,19134,Closed with non-monetary relief,2490991
"TRANSUNION INTERMEDIATE HOLDINGS, INC.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,CA,91020,Closed with explanation,2440804
"EQUIFAX, INC.",,TX,75035,Closed with explanation,2488530
PRESTIGE FINANCIAL SERVICES INC,,IL,60653,Closed with explanation,2371938
UNITED SERVICES AUTOMOBILE ASSOCIATION,Company believes complaint is the result of an isolated error,TX,78727,Closed with monetary relief,2444855
FINEX Group LLC,,CA,953XX,Closed with explanation,1914423
"Levy and Associates, LLC",,OH,43235,Closed with explanation,2371593
"ONEMAIN FINANCIAL HOLDINGS, LLC.",,NC,27597,Closed with explanation,2371642
"CITIBANK, N.A.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,CO,80221,Closed with explanation,2437474
UNITED SERVICES AUTOMOBILE ASSOCIATION,Company believes it acted appropriately as authorized by contract or law,PA,15963,Closed with explanation,2440352
"Concentric Receivables Management, Ltd.",,TX,775XX,Closed with explanation,2444285
OCWEN LOAN SERVICING LLC,,MI,48320,Closed with explanation,215643
"URS Holding, LLC",,TN,379XX,Closed with explanation,2446884
ALLY FINANCIAL INC.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,CA,926XX,Closed with explanation,2426136
BBVA COMPASS FINANCIAL CORPORATION,,MA,2151,Closed with monetary relief,2439654
"Dovenmuehle Mortgage, Inc.",,CT,6360,Closed with explanation,2369802
BARCLAYS BANK DELAWARE,Company has responded to the consumer and the CFPB and chooses not to provide a public response,TX,79607,Closed with explanation,2423941
"EXPERT GLOBAL SOLUTIONS, INC.",,,,Closed with explanation,2364897
UNITED SERVICES AUTOMOBILE ASSOCIATION,Company believes complaint is the result of an isolated error,NY,11967,Closed with explanation,2441457
Ditech Financial LLC,,FL,34714,Closed with explanation,924254
CAPITAL ONE FINANCIAL CORPORATION,,MD,20852,Closed with explanation,2371846
"EQUIFAX, INC.",,GA,30122,Closed with explanation,2371764
"EQUIFAX, INC.",,TX,77079,Closed with explanation,2488334
EXPERIAN DELAWARE GP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,FL,33060,Closed with non-monetary relief,2497289
"ONEMAIN FINANCIAL HOLDINGS, LLC.",,IL,60188,Closed with explanation,2425528
"WINN LAW GROUP, APC",,CA,956XX,Closed with explanation,2424184
ENCORE CAPITAL GROUP INC.,,OH,43613,Closed with explanation,2424950
"TRANSUNION INTERMEDIATE HOLDINGS, INC.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,NV,89031,Closed with explanation,1901482
"EQUIFAX, INC.",,IN,46226,Closed with non-monetary relief,2416121
Source Receivables Management LLC,Company believes it acted appropriately as authorized by contract or law,IN,47807,Closed with explanation,2414034
"BANK OF AMERICA, NATIONAL ASSOCIATION",Company has responded to the consumer and the CFPB and chooses not to provide a public response,MP,554XX,Closed with explanation,2412732
SPEEDY CASH INTERMEDIATE HOLDINGS CORP,,CA,935XX,Closed with explanation,2481686
"AMCOL Systems, Inc.",,TX,76131,Closed with explanation,2491541
"TRANSUNION INTERMEDIATE HOLDINGS, INC.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,NY,11219,Closed with explanation,2490912
JPMORGAN CHASE & CO.,,OK,730XX,Closed with explanation,2491020
ZIONS BANCORPORATION,Company has responded to the consumer and the CFPB and chooses not to provide a public response,AZ,852XX,Closed with monetary relief,2447348
"Colony Brands, Inc.",,NC,278XX,Untimely response,2329445
CARRINGTON MORTGAGE SERVICES,,FL,33441,Closed with explanation,2424946
MORTGAGE 4 U LLC,Company believes the complaint is the result of a misunderstanding,VA,20176,Closed with explanation,2390487
TRANSWORLD SYSTEMS INC,,FL,330XX,Closed with explanation,2444869
"SUNTRUST BANKS, INC.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,GA,300XX,Closed with monetary relief,2442124
"ONE REVERSE MORTGAGE, LLC",,NJ,8832,Closed with explanation,2428039
"AR Resources, Inc.",,FL,322XX,Closed with explanation,2445935
Resurgent Capital Services L.P.,,MI,48219,Closed with explanation,1989521
AES/PHEAA,,TN,381XX,Closed with explanation,2371677
NETSPEND CORPORATION,Company believes it acted appropriately as authorized by contract or law,TX,76053,Closed with explanation,2438333
"APEX Asset Management, LLC",,NJ,8031,Closed,460443
SYNCHRONY BANK,,NJ,8901,Closed with monetary relief,1179936
Law Offices of Goldsmith & Hull A.P.C.,,CA,90008,Closed with explanation,1263989
RR Resource-Recovery,,NY,13760,Closed with explanation,2223190
"Pendrick Capital Partners Holding, LLC",,WI,53224,Closed with explanation,2424358
ALLY FINANCIAL INC.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,TN,37650,Closed with explanation,2425260
ALLY FINANCIAL INC.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,GA,30047,Closed with explanation,2417442
"CITIBANK, N.A.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,NY,11226,Closed with explanation,2422048
"EQUIFAX, INC.",,NY,14610,Closed with explanation,2371598
EXPERIAN DELAWARE GP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,CA,93313,Closed with explanation,2397947
"TRANSUNION INTERMEDIATE HOLDINGS, INC.",,FL,33928,Closed with explanation,1009652
"BANK OF AMERICA, NATIONAL ASSOCIATION",Company has responded to the consumer and the CFPB and chooses not to provide a public response,MA,024XX,Closed with explanation,2419713
"CITIBANK, N.A.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,DC,20009,Closed with non-monetary relief,2443056
EXPERIAN DELAWARE GP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,NY,11226,Closed with non-monetary relief,2397805
ALLY FINANCIAL INC.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,IL,600XX,Closed with explanation,2420825
"Quality Recovery Services, Inc.",,GA,30014,Closed with explanation,1849932
"WELLS FARGO BANK, NATIONAL ASSOCIATION",Company has responded to the consumer and the CFPB and chooses not to provide a public response,PA,182XX,Closed with explanation,2401871
EXPERIAN DELAWARE GP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,IL,605XX,Closed with non-monetary relief,2397046
"WELLS FARGO BANK, NATIONAL ASSOCIATION",Company has responded to the consumer and the CFPB and chooses not to provide a public response,MN,55439,Closed with explanation,2446753
Specialized Loan Servicing LLC,Company has responded to the consumer and the CFPB and chooses not to provide a public response,VA,24212,Closed with explanation,2439229
"WELLS FARGO BANK, NATIONAL ASSOCIATION",,CA,94590,Closed with explanation,224922
Ditech Financial LLC,Company believes it acted appropriately as authorized by contract or law,MI,48328,Closed with explanation,2371574
"Southwest Credit Systems, L.P.",,ME,4069,Closed with explanation,2371781
AES/PHEAA,,,,Closed with explanation,2367674
"Bursey & Associates, P.C.",,AZ,85295,Closed with explanation,2367513
"NCC Business Services, Inc.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,TX,775XX,Closed with explanation,2372209
"Results Unlimited, Inc.",,VA,224XX,Closed with non-monetary relief,2371864
SCHOOLSFIRST FEDERAL CREDIT UNION,Company believes it acted appropriately as authorized by contract or law,CA,92694,Closed with explanation,2444609
BARCLAYS BANK DELAWARE,Company has responded to the consumer and the CFPB and chooses not to provide a public response,TX,77407,Closed with explanation,2436789
SYNCHRONY BANK,,CA,91108,Closed with explanation,215434
"Alpine Credit, Inc",Company disputes the facts presented in the complaint,AR,729XX,Closed with explanation,2383241
U.S. BANCORP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,WI,532XX,Closed with non-monetary relief,2437217
JPMORGAN CHASE & CO.,,CA,91913,Closed with monetary relief,2432049
"ONEMAIN FINANCIAL HOLDINGS, LLC.",,NJ,7111,Closed with explanation,2374511
"BANK OF AMERICA, NATIONAL ASSOCIATION",Company has responded to the consumer and the CFPB and chooses not to provide a public response,NY,100XX,Closed with explanation,2412744
SYNCHRONY BANK,,CA,91602,Closed with explanation,1077763
"Navient Solutions, LLC.",,SC,294XX,Closed with explanation,2443963
"CITIBANK, N.A.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,NY,10001,Closed with explanation,2443667
ENCORE CAPITAL GROUP INC.,,MD,21244,Closed with non-monetary relief,2371786
U.S. BANCORP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,MO,64081,Closed with monetary relief,2440060
Credit Card Receivables Fund Incorporated,,NC,27597,Closed with explanation,2371600
"CITIBANK, N.A.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,MD,21215,Closed with non-monetary relief,2440304
"EQUIFAX, INC.",,AZ,85296,Closed with explanation,2199513
"CITIBANK, N.A.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,WV,25156,Closed with explanation,2408024
"SUNTRUST BANKS, INC.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,TN,38134,Closed with explanation,2437746
EXPERIAN DELAWARE GP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,VA,23228,Closed with explanation,2397083
PORTFOLIO RECOVERY ASSOCIATES INC,,NY,11729,Closed with explanation,2371838
21ST MORTGAGE CORP.,,NY,11368,Closed with explanation,2442948
"Navient Solutions, LLC.",,VT,056XX,Closed with explanation,2371894
Ditech Financial LLC,,MO,657XX,Closed with explanation,2446051
"WELLS FARGO BANK, NATIONAL ASSOCIATION",Company has responded to the consumer and the CFPB and chooses not to provide a public response,AL,35022,Closed with explanation,2030435
"BANK OF AMERICA, NATIONAL ASSOCIATION",Company has responded to the consumer and the CFPB and chooses not to provide a public response,CA,958XX,Closed with monetary relief,2420310
"Shellpoint Partners, LLC",Company believes it acted appropriately as authorized by contract or law,CA,900XX,Closed with explanation,2443835
"Alpine Credit, Inc",Company believes it acted appropriately as authorized by contract or law,CO,802XX,Closed with explanation,2446421
"CITIBANK, N.A.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,NC,280XX,Closed with non-monetary relief,2446941
"Hunter Warfield, Inc.",Company believes the complaint is the result of a misunderstanding,FL,325XX,Closed with explanation,2443719
EXPERIAN DELAWARE GP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,WI,53405,Closed with non-monetary relief,2396771
U.S. BANCORP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,FL,33462,Closed with explanation,2444186
TENET HEALTHCARE CORPORATION,Company believes it acted appropriately as authorized by contract or law,TX,785XX,Closed with explanation,2375350
Advanced Resolution Services Inc.,,CA,935XX,Closed,2371763
HSBC NORTH AMERICA HOLDINGS INC.,,ID,83634,Closed with explanation,2371801
TD BANK US HOLDING COMPANY,,AZ,85209,Closed,734298
"WESTERN UNION COMPANY, THE",,FL,33330,Closed with explanation,2441416
EXPERIAN DELAWARE GP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,TX,78244,Closed with explanation,2399547
"CITIBANK, N.A.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,TX,77521,Closed with explanation,2438812
PORTFOLIO RECOVERY ASSOCIATES INC,,PA,163XX,Closed with explanation,2371775
BARCLAYS BANK DELAWARE,Company has responded to the consumer and the CFPB and chooses not to provide a public response,VA,234XX,Closed with explanation,2426957
"EQUIFAX, INC.",,VA,22303,Closed,2371883
EXPERIAN DELAWARE GP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,GA,30127,Closed with non-monetary relief,2397557
JPMORGAN CHASE & CO.,,NJ,087XX,Closed with non-monetary relief,2371956
"Convergent Resources, Inc.",,AZ,850XX,Closed with explanation,2371657
"BANK OF AMERICA, NATIONAL ASSOCIATION",Company has responded to the consumer and the CFPB and chooses not to provide a public response,GA,30013,Closed with explanation,2378338
"Navient Solutions, LLC.",,IL,606XX,Closed with explanation,2371669
Specialized Loan Servicing LLC,Company has responded to the consumer and the CFPB and chooses not to provide a public response,VA,22306,Closed with explanation,2439459
"Dynamic Recovery Solutions, LLC",Company believes the complaint is the result of a misunderstanding,NJ,7080,Closed with non-monetary relief,2439983
MONEYGRAM PAYMENT SYSTEMS WORLDWIDE INC,,FL,333XX,Closed with explanation,2371708
KEYCORP,,OR,974XX,Closed with explanation,2371825
"BANK OF AMERICA, NATIONAL ASSOCIATION",Company has responded to the consumer and the CFPB and chooses not to provide a public response,NC,28216,Closed with explanation,2420513
"Alpine Credit, Inc",,CO,800XX,Closed with explanation,1699163
TCF NATIONAL BANK,Company believes it acted appropriately as authorized by contract or law,IL,60631,Closed with explanation,2431865
"Navient Solutions, LLC.",,CA,926XX,Closed with explanation,2371733
WORLD ACCEPTANCE CORPORATION,,SC,297XX,Closed with explanation,2223187
"RGS Financial, Inc.",Company believes it acted appropriately as authorized by contract or law,KS,672XX,Closed with explanation,2446065
ALLY FINANCIAL INC.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,MN,55444,Closed with explanation,2416891
U.S. BANCORP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,WA,98031,Closed with explanation,2446274
"National Principal Group, LLC",,ME,042XX,Closed with explanation,2278990
"Navient Solutions, LLC.",,NY,112XX,Closed with explanation,2371890
"TRANSUNION INTERMEDIATE HOLDINGS, INC.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,NC,27862,Closed with explanation,2386851
"Sentry Credit, Inc.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,CA,900XX,Closed with explanation,2394086
D. SCOTT CARRUTHERS,,CA,921XX,Untimely response,2266823
BARCLAYS BANK DELAWARE,Company has responded to the consumer and the CFPB and chooses not to provide a public response,CA,932XX,Closed with explanation,2433297
"Hunter Warfield, Inc.",Company believes the complaint is the result of a misunderstanding,MD,21720,Closed with explanation,2445605
"GENERAL MOTORS FINANCIAL COMPANY, INC.",,IL,606XX,Closed with explanation,1697827
"EQUIFAX, INC.",,NC,287XX,Closed with explanation,2371831
EXPERIAN DELAWARE GP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,OH,44133,Closed with non-monetary relief,2397098
CAPITAL ONE FINANCIAL CORPORATION,,NJ,7304,Closed with explanation,2397110
"BANK OF AMERICA, NATIONAL ASSOCIATION",Company has responded to the consumer and the CFPB and chooses not to provide a public response,FL,33905,Closed with explanation,2440139
"BANK OF AMERICA, NATIONAL ASSOCIATION",Company has responded to the consumer and the CFPB and chooses not to provide a public response,GA,300XX,Closed with monetary relief,2436309
"BMW Financial Services NA, LLC",,FL,34786,Closed with explanation,2420218
"EQUIFAX, INC.",,FL,33830,Closed with explanation,2371668
"BANK OF AMERICA, NATIONAL ASSOCIATION",Company has responded to the consumer and the CFPB and chooses not to provide a public response,CA,91203,Closed with monetary relief,2377534
REGIONS BANK,Company has responded to the consumer and the CFPB and chooses not to provide a public response,IL,62234,Closed with monetary relief,2440144
Express Aviation,,TX,78208,Closed with monetary relief,2280793
JPMORGAN CHASE & CO.,,NY,100XX,Closed with explanation,2443455
ALLY FINANCIAL INC.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,IL,600XX,Closed with explanation,2424250
"Dovenmuehle Mortgage, Inc.",,SC,297XX,Closed with explanation,2447529
JPMORGAN CHASE & CO.,,NY,10006,Closed with explanation,2440660
"Hunter Warfield, Inc.",Company believes the complaint is the result of a misunderstanding,CO,80012,Closed with explanation,2441801
"CONSUMER PORTFOLIO SERVICES, INC.",,MN,55419,Closed with non-monetary relief,1030375
"TRANSUNION INTERMEDIATE HOLDINGS, INC.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,IL,604XX,Closed with explanation,2447205
"BANK OF AMERICA, NATIONAL ASSOCIATION",Company has responded to the consumer and the CFPB and chooses not to provide a public response,TX,75089,Closed with monetary relief,2447714
BANK OF THE WEST,Company has responded to the consumer and the CFPB and chooses not to provide a public response,CA,91745,Closed with explanation,2440657
"BANK OF AMERICA, NATIONAL ASSOCIATION",Company has responded to the consumer and the CFPB and chooses not to provide a public response,CA,92056,Closed with explanation,2422888
"BANK OF AMERICA, NATIONAL ASSOCIATION",Company has responded to the consumer and the CFPB and chooses not to provide a public response,DC,20002,Closed with explanation,2413477
ZIONS BANCORPORATION,Company has responded to the consumer and the CFPB and chooses not to provide a public response,AZ,86409,Closed with explanation,2443331
EXPERIAN DELAWARE GP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,AP,96375,Closed with non-monetary relief,2397154
"National Credit Systems,Inc.",Company believes it acted appropriately as authorized by contract or law,TX,750XX,Closed with explanation,2379040
DISCOVER BANK,,MT,59624,Closed with explanation,2412549
"TRANSUNION INTERMEDIATE HOLDINGS, INC.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,TX,773XX,Closed with explanation,2444620
JPMORGAN CHASE & CO.,,MI,48382,Closed with explanation,418505
"Professional Debt Mediation, Inc.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,CO,80817,Closed with explanation,2445232
AMERICAN EXPRESS CENTURION BANK,,NE,68118,Closed with explanation,2444254
DISCOVER BANK,,VA,23804,Closed with explanation,2433235
"WELLS FARGO BANK, NATIONAL ASSOCIATION",,NY,12047,Closed with explanation,1251272
Ditech Financial LLC,,FL,342XX,Closed with explanation,2371656
"CITIZENS FINANCIAL GROUP, INC.",,PA,17602,Closed with explanation,2371577
Performant Financial Corporation,Company has responded to the consumer and the CFPB and chooses not to provide a public response,CO,80013,Closed with explanation,2419045
"Blatt, Hasenmiller, Leibsker & Moore, LLC",Company believes it acted appropriately as authorized by contract or law,IL,62640,Closed with explanation,2446017
CarFinance Capital LLC,Company has responded to the consumer and the CFPB and chooses not to provide a public response,WA,98272,Closed with explanation,2443729
BARCLAYS BANK DELAWARE,Company has responded to the consumer and the CFPB and chooses not to provide a public response,CA,93940,Closed with explanation,2439723
EXPERIAN DELAWARE GP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,MO,63042,Closed with explanation,2399157
"Credence Resource Management, LLC",Company has responded to the consumer and the CFPB and chooses not to provide a public response,CA,925XX,Closed with explanation,2092269
M&T BANK CORPORATION,Company has responded to the consumer and the CFPB and chooses not to provide a public response,NC,28539,Closed with explanation,2443431
"National Credit Systems,Inc.",Company believes it acted appropriately as authorized by contract or law,NC,27519,Closed with explanation,2378707
PAYPAL HOLDINGS INC.,,DC,200XX,Closed with non-monetary relief,2371784
"CITIBANK, N.A.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,CA,94805,Closed with explanation,2447149
"WELLS FARGO BANK, NATIONAL ASSOCIATION",Company has responded to the consumer and the CFPB and chooses not to provide a public response,MD,207XX,Closed with explanation,2420235
Telerecovery Corporation,Company has responded to the consumer and the CFPB and chooses not to provide a public response,LA,70560,Closed with explanation,2417259
"TRANSUNION INTERMEDIATE HOLDINGS, INC.",,GA,30044,Closed with explanation,918977
JPMORGAN CHASE & CO.,,NY,11771,Closed with explanation,2415992
Alliance Data Card Services,,GA,302XX,Closed with monetary relief,2371681
CAPITAL ONE FINANCIAL CORPORATION,,NY,10301,Closed with explanation,2416676
MORTGAGE SOLUTIONS OF COLORADO,,TX,770XX,Closed with explanation,2371603
EXPERIAN DELAWARE GP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,NY,11434,Closed with explanation,2397489
"Collection Bureau Services, Inc.",,ID,837XX,Closed with explanation,2371772
"WELLS FARGO BANK, NATIONAL ASSOCIATION",Company has responded to the consumer and the CFPB and chooses not to provide a public response,NJ,086XX,Closed with explanation,2382679
"Blakely-Witt and Associates, Inc.",Company believes it acted appropriately as authorized by contract or law,TX,77078,Closed with explanation,2419538
Ditech Financial LLC,,,,Closed with explanation,2391064
OCWEN LOAN SERVICING LLC,,FL,32716,Closed with explanation,620269
OCWEN LOAN SERVICING LLC,,CA,917XX,Closed with explanation,2371705
"Seterus, Inc.",,MN,55449,Closed with explanation,2371643
BARCLAYS BANK DELAWARE,Company has responded to the consumer and the CFPB and chooses not to provide a public response,IL,098XX,Closed with explanation,2426335
"WELLS FARGO BANK, NATIONAL ASSOCIATION",Company has responded to the consumer and the CFPB and chooses not to provide a public response,NY,11214,Closed with explanation,2388517
Allen & Withrow,,AR,72701,Closed with explanation,1165478
"Credit Systems International, Inc.",,TX,752XX,Closed with explanation,2446160
"BANK OF AMERICA, NATIONAL ASSOCIATION",Company has responded to the consumer and the CFPB and chooses not to provide a public response,FL,33908,Closed with explanation,2440707
FINEX Group LLC,,CA,93703,Closed with explanation,945040
UNITED SERVICES AUTOMOBILE ASSOCIATION,Company believes it acted appropriately as authorized by contract or law,FL,32878,Closed with explanation,2441092
ALLY FINANCIAL INC.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,CA,95207,Closed with explanation,2416373
"FIRST HAWAIIAN, INC.",Company believes complaint represents an opportunity for improvement to better serve consumers,VA,220XX,Closed with explanation,2417043
ALLY FINANCIAL INC.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,GA,30236,Closed with explanation,2405086
TCF NATIONAL BANK,Company believes it acted appropriately as authorized by contract or law,IL,60631,Closed with explanation,2427124
