Complaint ID,Consumer disputed?,Consumer consent provided?,Submitted via
2408024,No,N/A,Postal mail
2437746,No,N/A,Referral
2397083,No,N/A,Postal mail
2371838,No,Consent not provided,Web
2442948,No,N/A,Postal mail
2371894,No,Consent provided,Web
2446051,No,,Web
2030435,No,N/A,Referral
2420310,No,Consent provided,Web
2443835,No,,Web
2446421,No,,Web
2446941,No,,Web
2443719,No,,Web
2396771,No,Consent not provided,Web
2444186,No,N/A,Postal mail
2375350,No,Consent provided,Web
2371763,No,Consent provided,Web
2371801,No,Consent not provided,Web
734298,No,N/A,Referral
2441416,No,N/A,Phone
2399547,No,Consent not provided,Web
2438812,No,N/A,Referral
2371775,Yes,Consent provided,Web
2426957,No,Consent provided,Web
2371883,No,Consent not provided,Web
2397557,No,N/A,Referral
2371956,No,Consent provided,Web
2371657,No,Consent provided,Web
2378338,No,N/A,Phone
2371669,No,Consent provided,Web
2439459,No,Consent not provided,Web
2439983,No,Consent not provided,Web
2371708,Yes,Consent provided,Web
2371825,No,Consent provided,Web
2420513,No,N/A,Phone
1699163,No,Consent provided,Web
2431865,No,Other,Web
2371733,No,Consent provided,Web
2223187,No,Consent provided,Web
2446065,No,,Web
2416891,No,N/A,Referral
2446274,No,Consent not provided,Web
2278990,Yes,Consent provided,Web
2371890,No,Consent provided,Web
2386851,No,Consent not provided,Web
2394086,No,Consent provided,Web
2266823,No,Consent provided,Web
2433297,No,Consent provided,Web
2445605,No,Consent not provided,Web
1697827,No,Consent provided,Web
2371831,No,Consent provided,Web
2397098,No,N/A,Postal mail
2397110,No,N/A,Referral
2440139,No,Consent not provided,Web
2436309,No,Consent provided,Web
2420218,No,N/A,Referral
2371668,No,Consent not provided,Web
2377534,No,Other,Web
2440144,No,Consent not provided,Web
2280793,No,Consent not provided,Web
2443455,No,,Web
2424250,No,Consent provided,Web
2447529,No,,Web
2440660,No,N/A,Referral
2441801,No,N/A,Referral
1030375,No,N/A,Web
2447205,No,,Web
2447714,No,Consent not provided,Web
2440657,No,N/A,Referral
2422888,No,Consent not provided,Web
2413477,No,N/A,Referral
2443331,No,N/A,Referral
2397154,No,Consent not provided,Web
2379040,No,Consent provided,Web
2412549,No,N/A,Phone
2444620,No,,Web
418505,No,N/A,Fax
2445232,No,Consent not provided,Web
2444254,No,N/A,Phone
2433235,No,N/A,Referral
1251272,No,N/A,Web
2371656,No,N/A,Referral
2371577,No,Consent not provided,Web
2419045,No,Consent not provided,Web
2446017,No,N/A,Postal mail
2443729,No,Consent not provided,Web
2439723,No,Consent not provided,Web
2399157,No,Consent not provided,Web
2092269,No,Consent provided,Web
2443431,No,N/A,Referral
2378707,No,Consent not provided,Web
2371784,Yes,Consent provided,Web
2447149,No,N/A,Fax
2420235,No,Consent provided,Web
2417259,No,Consent not provided,Web
918977,No,N/A,Web
2415992,No,Other,Web
2371681,No,Consent provided,Web
2416676,No,N/A,Referral
2371603,No,Consent provided,Web
2397489,No,N/A,Referral
2371772,Yes,Consent provided,Web
2382679,No,Consent provided,Web
2419538,No,Consent not provided,Web
2391064,No,N/A,Phone
620269,No,N/A,Referral
2371705,Yes,Consent provided,Web
2371643,No,Consent not provided,Web
2426335,No,Consent provided,Web
2388517,No,N/A,Referral
1165478,Yes,N/A,Web
2446160,No,,Web
2440707,No,Consent not provided,Web
945040,No,N/A,Web
2441092,No,N/A,Referral
2416373,No,N/A,Referral
2417043,No,Consent provided,Web
2405086,No,N/A,Referral
2427124,No,Consent not provided,Web
2442282,No,Consent not provided,Web
2421000,No,N/A,Referral
2379967,No,,Web
2371918,No,Consent not provided,Web
2430771,No,N/A,Phone
2371727,No,Consent not provided,Web
2445867,No,N/A,Referral
451174,No,N/A,Web
2447040,No,,Web
2396628,No,N/A,Referral
2397084,No,N/A,Postal mail
463255,Yes,N/A,Referral
2442683,No,N/A,Postal mail
2446395,No,Consent not provided,Web
2417715,No,N/A,Postal mail
2371967,No,Consent provided,Web
2442418,No,,Web
2385349,No,Consent not provided,Web
23982,No,N/A,Referral
2430838,No,Consent provided,Web
2441260,No,Consent not provided,Web
2443649,No,Consent not provided,Web
2371845,Yes,Consent not provided,Web
2423042,No,Consent not provided,Web
2440172,No,,Web
2371615,No,Consent provided,Web
2400409,No,Consent not provided,Web
1649572,No,Consent provided,Web
2371631,No,Consent provided,Web
2371839,No,Consent not provided,Web
2445638,No,N/A,Postal mail
2267383,No,Consent not provided,Web
2371742,No,Consent not provided,Web
2442341,No,N/A,Referral
2371730,No,Consent not provided,Web
2030854,No,Consent provided,Web
2441701,No,,Web
2396647,No,Consent not provided,Web
2434071,No,Consent not provided,Web
2395832,No,Consent not provided,Web
2445680,No,,Web
2442680,No,Consent not provided,Web
2445434,No,Consent not provided,Web
2439720,No,N/A,Fax
2443853,No,Consent not provided,Web
2441018,No,N/A,Postal mail
2224308,No,Consent provided,Web
2371582,No,Consent provided,Web
2399680,No,Consent provided,Web
1885683,No,N/A,Postal mail
2414536,No,N/A,Phone
2386346,No,N/A,Referral
2443518,No,,Web
2444183,No,,Web
2444882,No,,Web
2444847,No,N/A,Referral
1639884,No,N/A,Phone
2371641,No,Consent provided,Web
2443854,No,N/A,Referral
2414115,No,N/A,Referral
2371819,Yes,Consent not provided,Web
2446663,No,Consent not provided,Web
2440614,No,N/A,Postal mail
2399086,No,Consent provided,Web
2398201,No,N/A,Referral
2439301,No,N/A,Phone
2441573,No,N/A,Referral
2402012,No,N/A,Phone
2397719,No,Consent not provided,Web
2438585,No,Other,Web
2364555,No,Consent not provided,Web
2332232,No,Consent not provided,Web
2371880,Yes,Consent provided,Web
2447215,No,,Web
2440722,No,Consent not provided,Web
1816071,No,Consent provided,Web
2446688,No,Consent not provided,Web
2414476,No,N/A,Postal mail
2427890,No,N/A,Phone
2168493,No,Consent provided,Web
1810842,No,Consent not provided,Web
2235997,No,Consent not provided,Web
2394133,No,Consent not provided,Web
5087,No,N/A,Phone
2429209,No,N/A,Postal mail
2426023,No,Consent provided,Web
2425199,No,Consent provided,Web
2492083,N/A,,Web
2493382,N/A,,Web
2495544,N/A,,Web
2493154,N/A,,Web
2494122,N/A,,Web
2398632,No,N/A,Referral
2371929,No,Consent not provided,Web
2444946,No,Consent not provided,Web
2439253,No,Consent not provided,Web
2144108,No,Consent provided,Web
1667107,No,Consent not provided,Web
2404531,No,Consent provided,Web
2399978,No,Consent provided,Web
2446974,No,N/A,Phone
2371869,No,Consent not provided,Web
2443849,No,,Web
851520,No,N/A,Referral
2380901,No,Consent not provided,Web
2399527,No,N/A,Postal mail
2445950,No,Consent not provided,Web
2399946,No,Consent not provided,Web
2372334,No,Consent provided,Web
2446587,No,,Web
2443881,No,N/A,Fax
2400002,No,Consent provided,Web
1893211,No,N/A,Postal mail
1682363,No,N/A,Postal mail
2400971,No,Consent provided,Web
2445590,No,N/A,Referral
1075048,No,N/A,Web
2431845,No,N/A,Postal mail
2444537,No,,Web
2442083,No,N/A,Referral
2366223,No,N/A,Phone
2399197,No,Other,Web
2443773,No,,Web
2435824,No,Other,Web
2447658,No,,Web
2373486,No,Consent provided,Web
2398875,No,Consent provided,Web
2420398,No,Consent not provided,Web
2399555,No,N/A,Referral
2439670,No,N/A,Postal mail
2418765,No,N/A,Phone
456243,No,N/A,Web
2446079,No,,Web
2431734,No,N/A,Referral
2446035,No,,Web
2371954,No,Consent not provided,Web
2441991,No,Consent not provided,Web
1279771,No,N/A,Web
2434462,No,Consent not provided,Web
2166426,No,Consent not provided,Web
1691259,No,Consent not provided,Web
2372015,No,Consent not provided,Web
1736887,No,N/A,Referral
2446509,No,N/A,Referral
2371809,No,Consent provided,Web
2489796,N/A,,Web
2489938,N/A,,Web
2499162,N/A,Consent not provided,Web
2484902,N/A,,Web
2466701,N/A,,Web
2492087,N/A,Consent not provided,Web
2446527,No,,Web
2276951,No,N/A,Fax
2445983,No,Consent not provided,Web
681820,No,N/A,Web
2398637,No,Consent not provided,Web
2399416,No,Consent provided,Web
2424925,No,Consent provided,Web
2444048,No,,Web
2440100,No,Consent not provided,Web
776625,Yes,N/A,Web
2441694,No,N/A,Postal mail
2442798,No,N/A,Fax
2442697,No,N/A,Phone
2315900,No,Consent provided,Web
2371780,Yes,Consent provided,Web
1593783,No,N/A,Referral
133347,No,N/A,Phone
2443154,No,N/A,Referral
2447327,No,N/A,Phone
2379837,No,Consent not provided,Web
2371891,No,Consent provided,Web
2399563,No,Consent provided,Web
2372229,No,Consent provided,Web
2442320,No,Consent not provided,Web
2446161,No,Consent not provided,Web
2443482,No,N/A,Referral
424390,No,N/A,Web
2415663,No,N/A,Referral
2345818,No,N/A,Referral
1642861,No,Consent not provided,Web
2444565,No,,Web
2414989,No,Consent not provided,Web
2436524,No,Consent provided,Web
169033,No,N/A,Web
2446508,No,N/A,Phone
2358763,Yes,Consent provided,Web
2405505,No,Consent provided,Web
2407298,No,N/A,Referral
1314078,No,N/A,Phone
2443533,No,Other,Web
2131006,No,N/A,Postal mail
2399568,No,Consent provided,Web
2336442,No,N/A,Phone
1065751,No,N/A,Web
2372104,No,Consent not provided,Web
2400188,No,Consent provided,Web
2447590,No,,Web
128064,No,N/A,Referral
2443265,No,Consent not provided,Web
2444648,No,,Web
2442452,No,Consent not provided,Web
2432493,No,N/A,Referral
2416311,No,N/A,Referral
2371847,No,Consent not provided,Web
1964640,No,Consent provided,Web
2398713,No,Consent provided,Web
2398552,No,Consent provided,Web
2446959,No,Consent not provided,Web
2399092,No,Consent provided,Web
2372284,No,Consent provided,Web
2372121,No,Consent not provided,Web
2444703,No,,Web
2393530,No,Consent provided,Web
1961950,No,Consent not provided,Web
2226859,No,Consent provided,Web
2426900,No,N/A,Referral
2447598,No,,Web
2443988,No,Consent not provided,Web
2447723,No,,Web
2446779,No,Consent not provided,Web
1211501,No,N/A,Web
1085304,No,N/A,Web
2435812,No,Consent provided,Web
2398002,No,Consent not provided,Web
2372274,No,Consent provided,Web
2371682,No,Consent provided,Web
2445379,No,,Web
1324587,No,Consent provided,Web
2400050,No,Consent not provided,Web
2443951,No,N/A,Referral
1309520,No,Consent not provided,Web
2441322,No,Other,Web
2444539,No,,Web
2371179,No,N/A,Referral
2298283,No,Consent not provided,Web
2399452,No,Consent provided,Web
2374964,No,Consent provided,Web
1272053,No,N/A,Web
2205480,No,N/A,Referral
2447377,No,Consent not provided,Web
2446213,No,,Web
2372089,No,Consent provided,Web
1495572,Yes,Consent not provided,Web
2436321,No,Consent not provided,Web
2445891,No,,Web
2424450,No,N/A,Phone
2422445,No,N/A,Referral
2240364,No,N/A,Postal mail
880466,No,N/A,Web
2399025,No,Consent not provided,Web
2419399,No,Other,Web
2446300,No,,Web
2398410,No,N/A,Phone
2443080,No,,Web
2372119,Yes,Consent provided,Web
595555,No,N/A,Referral
2418075,No,Consent provided,Web
2372005,No,Consent not provided,Web
208118,No,N/A,Web
2430339,No,Consent not provided,Web
2395785,No,N/A,Referral
2371608,No,Consent provided,Web
2441571,No,N/A,Referral
2399990,No,Consent not provided,Web
2445694,No,,Web
2399344,No,Consent provided,Web
2447082,No,Consent not provided,Web
2443656,No,N/A,Referral
1657672,No,Consent not provided,Web
2373592,No,N/A,Phone
2446540,No,Consent not provided,Web
2419127,No,N/A,Referral
2372338,No,Consent not provided,Web
2372329,No,Consent not provided,Web
2445286,No,,Web
2447044,No,N/A,Phone
2444441,No,,Web
2445150,No,N/A,Phone
2417295,No,Consent provided,Web
2445178,No,,Web
2424451,No,Consent not provided,Web
2371605,No,Consent not provided,Web
2445403,No,,Web
2424173,No,Consent not provided,Web
2422261,No,N/A,Postal mail
2400653,No,Consent provided,Web
2426497,No,Consent not provided,Web
2372006,No,Consent provided,Web
657955,No,N/A,Web
17423,No,N/A,Referral
2399929,No,Consent provided,Web
2372246,No,Consent not provided,Web
2439744,No,N/A,Referral
2402718,No,N/A,Referral
2445726,No,Consent not provided,Web
2371872,No,Consent not provided,Web
2445864,No,N/A,Postal mail
2401560,No,N/A,Phone
648923,Yes,N/A,Web
1395403,No,N/A,Referral
1706022,No,Consent provided,Web
1235085,No,N/A,Web
2444227,No,,Web
2371649,Yes,Consent provided,Web
2445920,No,N/A,Phone
2442883,No,N/A,Referral
1104062,No,N/A,Phone
2446425,No,,Web
2445168,No,,Web
2389368,No,Consent not provided,Web
2114131,No,N/A,Phone
2401622,No,Consent provided,Web
1253707,No,N/A,Web
2441931,No,,Web
2442347,No,N/A,Referral
2371906,No,Consent provided,Web
2371751,No,Consent provided,Web
2429873,No,Consent provided,Web
2091582,No,N/A,Referral
2371779,No,Consent provided,Web
2398836,No,Consent not provided,Web
2371663,Yes,Consent provided,Web
172260,No,N/A,Web
2447059,No,N/A,Referral
119716,No,N/A,Referral
2373314,No,N/A,Phone
2364474,No,Consent provided,Web
2398019,No,N/A,Referral
2447090,No,Consent not provided,Web
2398921,No,Consent provided,Web
2405189,No,Consent not provided,Web
2383500,No,N/A,Referral
2399267,No,Consent provided,Web
2490676,N/A,,Web
2486573,N/A,,Web
2499829,N/A,,Web
2491368,N/A,,Web
2493366,N/A,Consent not provided,Web
2470016,N/A,,Web
2441845,No,N/A,Postal mail
2464476,N/A,,Web
2465056,N/A,,Web
2474173,N/A,,Web
2464952,N/A,Consent not provided,Web
2467616,N/A,,Web
2466532,N/A,,Web
2372173,No,Consent provided,Web
2466065,N/A,,Web
2467706,N/A,,Web
2404255,No,Other,Web
2471090,N/A,,Web
1807608,No,Consent provided,Web
2417341,No,Consent provided,Web
2435916,No,Other,Web
2465149,N/A,,Web
2466842,N/A,,Web
2445072,No,N/A,Referral
2467992,N/A,,Web
2467596,N/A,,Web
2435736,No,N/A,Referral
2466567,N/A,,Web
2426028,No,Consent provided,Web
2447670,No,Consent not provided,Web
2447376,No,,Web
2406245,No,N/A,Referral
2469046,N/A,Consent not provided,Web
2469088,N/A,,Web
2503410,N/A,,Web
2495318,N/A,Consent not provided,Web
2493061,N/A,N/A,Referral
2425987,No,Consent provided,Web
2493969,N/A,,Web
2437352,No,Consent provided,Web
2432567,No,N/A,Phone
2469607,N/A,,Web
2464695,N/A,,Web
2464699,N/A,N/A,Phone
2466085,N/A,,Web
2409498,No,N/A,Referral
2465380,N/A,,Web
2469315,N/A,,Web
2444439,No,,Web
2445708,No,,Web
2465026,N/A,,Web
2465241,N/A,,Web
2469155,N/A,N/A,Postal mail
2464667,N/A,,Web
2464594,N/A,,Web
2446928,No,,Web
2464318,N/A,,Web
2469554,N/A,,Web
2474445,N/A,,Web
2465888,N/A,,Web
2467339,N/A,Consent not provided,Web
2466545,N/A,N/A,Referral
2444720,No,N/A,Referral
2417959,No,N/A,Postal mail
2467641,N/A,Consent not provided,Web
2442081,No,Consent not provided,Web
2467172,N/A,N/A,Phone
2412799,No,Consent provided,Web
2468913,N/A,N/A,Phone
1358635,No,Consent not provided,Web
2465784,N/A,,Web
2469550,N/A,Consent not provided,Web
2442413,No,Consent not provided,Web
2470065,N/A,Consent not provided,Web
2397145,No,Consent provided,Web
2472284,N/A,,Web
2467243,N/A,,Web
2466415,N/A,,Web
2467295,N/A,,Web
2469198,N/A,,Web
2372076,No,Consent provided,Web
2464715,N/A,Consent not provided,Web
2471189,N/A,Consent not provided,Web
2472014,N/A,N/A,Phone
2466186,N/A,,Web
2445369,No,Consent not provided,Web
2467916,N/A,N/A,Referral
1577545,No,Consent not provided,Web
2467030,N/A,,Web
2470908,N/A,,Web
2469073,N/A,N/A,Postal mail
2472855,N/A,Consent not provided,Web
2477215,N/A,N/A,Postal mail
2497739,N/A,N/A,Referral
2425988,No,Consent not provided,Web
2494523,N/A,,Web
2465823,N/A,,Web
2467967,N/A,,Web
2466502,N/A,N/A,Phone
2465059,N/A,,Web
2466984,N/A,N/A,Referral
2468334,N/A,,Web
2469657,N/A,,Web
2465626,N/A,,Web
2465490,N/A,,Web
2444962,No,N/A,Referral
1910819,No,N/A,Referral
2465407,N/A,Consent not provided,Web
2464811,N/A,,Web
2467031,N/A,Consent not provided,Web
2474455,N/A,N/A,Postal mail
2475489,N/A,,Web
2443371,No,Consent not provided,Web
2474454,N/A,,Web
2372027,Yes,Consent provided,Web
2467198,N/A,,Web
2466748,N/A,,Web
2470240,N/A,,Web
2465183,N/A,,Web
2469076,N/A,,Web
2440691,No,,Web
2372118,No,Consent not provided,Web
2464458,N/A,,Web
2471665,N/A,N/A,Referral
2425794,No,Consent provided,Web
2471580,N/A,,Web
2447379,No,,Web
2464673,N/A,,Web
2372298,No,Consent not provided,Web
535686,No,N/A,Phone
2466492,N/A,,Web
2470968,N/A,,Web
2467081,N/A,,Web
2443752,No,Consent not provided,Web
2469510,N/A,,Web
2469047,N/A,,Web
2464515,N/A,Consent not provided,Web
2423648,No,N/A,Referral
2372264,Yes,Consent provided,Web
2500792,N/A,,Web
2426053,No,Consent provided,Web
2501124,N/A,,Web
2492967,N/A,,Web
2477287,N/A,N/A,Postal mail
2495729,N/A,,Web
2491456,N/A,,Web
1719213,No,N/A,Phone
2481149,N/A,,Web
2422226,No,Consent not provided,Web
2446848,No,,Web
1859971,No,N/A,Referral
2474242,N/A,,Web
2470310,N/A,,Web
2467841,N/A,N/A,Postal mail
2372233,No,Consent provided,Web
2464421,N/A,,Web
2464364,N/A,,Web
2464664,N/A,,Web
2467702,N/A,N/A,Postal mail
2467472,N/A,,Web
2466063,N/A,,Web
2466629,N/A,,Web
2443910,No,Consent not provided,Web
2470713,N/A,Consent not provided,Web
808677,No,N/A,Web
2467648,N/A,,Web
2465251,N/A,N/A,Phone
2467288,N/A,,Web
2464777,N/A,,Web
2466931,N/A,N/A,Referral
2427084,No,Consent not provided,Web
2465358,N/A,,Web
2464732,N/A,,Web
2372044,Yes,Consent provided,Web
2464582,N/A,,Web
2467191,N/A,,Web
2400318,No,Consent not provided,Web
2468037,N/A,N/A,Postal mail
2466598,N/A,Other,Web
2465133,N/A,,Web
2468134,N/A,,Web
2467318,N/A,,Web
2465423,N/A,Consent not provided,Web
2469444,N/A,,Web
2445139,No,Consent not provided,Web
2465388,N/A,,Web
2372213,No,Consent not provided,Web
2465069,N/A,Consent not provided,Web
2413184,No,Consent provided,Web
2468975,N/A,Consent not provided,Web
2471086,N/A,,Web
2468136,N/A,,Web
2466071,N/A,N/A,Postal mail
2464419,N/A,,Web
2465467,N/A,,Web
2421088,No,N/A,Postal mail
2445978,No,Other,Web
2466407,N/A,Other,Web
2415478,No,N/A,Referral
2466599,N/A,,Web
2466357,N/A,,Web
2467307,N/A,Consent not provided,Web
2466593,N/A,,Web
652094,No,N/A,Web
2441504,No,,Web
2468462,N/A,,Web
2464523,N/A,N/A,Phone
2468743,N/A,,Web
2465521,N/A,,Web
2465944,N/A,,Web
2468323,N/A,,Web
2470151,N/A,,Web
2397168,No,N/A,Postal mail
2466217,N/A,,Web
2468521,N/A,,Web
2464505,N/A,,Web
2466066,N/A,,Web
2465024,N/A,N/A,Referral
2466584,N/A,Consent not provided,Web
2468042,N/A,,Web
2469288,N/A,,Web
2465613,N/A,N/A,Fax
2465928,N/A,N/A,Postal mail
2473615,N/A,N/A,Postal mail
2468475,N/A,,Web
2466028,N/A,,Web
2467646,N/A,,Web
2467934,N/A,N/A,Referral
1467456,No,Consent not provided,Web
2466536,N/A,,Web
2464687,N/A,Consent not provided,Web
2464436,N/A,,Web
2466212,N/A,Consent not provided,Web
2467113,N/A,,Web
2467011,N/A,,Web
2465459,N/A,Consent not provided,Web
2467403,N/A,,Web
2468099,N/A,,Web
2466170,N/A,,Web
2468711,N/A,N/A,Postal mail
2464354,N/A,,Web
2473015,N/A,Consent not provided,Web
2469056,N/A,,Web
2466069,N/A,N/A,Phone
2466987,N/A,N/A,Referral
1201570,No,N/A,Referral
2465981,N/A,Consent not provided,Web
2434559,No,N/A,Phone
2467881,N/A,,Web
2467193,N/A,,Web
2467766,N/A,,Web
2465333,N/A,Other,Web
2471442,N/A,Consent not provided,Web
2464957,N/A,N/A,Phone
2470070,N/A,,Web
2432421,No,Consent provided,Web
2442646,No,N/A,Referral
2464540,N/A,Consent not provided,Web
2470011,N/A,,Web
15968,No,N/A,Web
2465475,N/A,Consent not provided,Web
2106346,No,Consent not provided,Web
2464432,N/A,,Web
2470256,N/A,,Web
2467028,N/A,,Web
2469920,N/A,N/A,Phone
2471924,N/A,,Web
2466290,N/A,Consent not provided,Web
2411476,No,N/A,Referral
2464801,N/A,,Web
2465468,N/A,,Web
2464820,N/A,,Web
2465638,N/A,,Web
548411,No,N/A,Referral
2464788,N/A,,Web
2468049,N/A,,Web
2410503,No,N/A,Referral
2464463,N/A,,Web
2471497,N/A,Consent not provided,Web
2399149,No,Consent provided,Web
2467159,N/A,,Web
2372055,No,Consent provided,Web
2471797,N/A,,Web
2467844,N/A,N/A,Postal mail
2466517,N/A,Consent not provided,Web
2470337,N/A,N/A,Phone
2466684,N/A,Consent not provided,Web
383796,No,N/A,Referral
365487,No,N/A,Web
2466702,N/A,,Web
2464768,N/A,,Web
2372314,No,Consent provided,Web
2469205,N/A,N/A,Phone
2469445,N/A,Consent not provided,Web
2465235,N/A,Consent not provided,Web
2464337,N/A,,Web
2465346,N/A,,Web
2440524,No,N/A,Referral
2467052,N/A,,Web
1786848,No,N/A,Referral
2464500,N/A,Consent not provided,Web
2465907,N/A,,Web
2422064,No,Consent provided,Web
2444616,No,Consent not provided,Web
2466139,N/A,N/A,Referral
2464590,N/A,Consent not provided,Web
2465466,N/A,,Web
2465715,N/A,,Web
2466675,N/A,Consent not provided,Web
2471191,N/A,,Web
2465514,N/A,,Web
2468756,N/A,N/A,Phone
2466130,N/A,,Web
2466843,N/A,,Web
2469358,N/A,,Web
2493492,N/A,,Web
2425971,No,Consent provided,Web
2466936,N/A,Consent not provided,Web
2470700,N/A,,Web
2465155,N/A,,Web
2464331,N/A,,Web
2467600,N/A,,Web
2467380,N/A,Consent not provided,Web
2465356,N/A,,Web
2465701,N/A,,Web
2466016,N/A,,Web
2441617,No,,Web
2464441,N/A,,Web
2464832,N/A,,Web
2465253,N/A,,Web
2465205,N/A,Consent not provided,Web
2425950,No,Consent provided,Web
2465545,N/A,,Web
2469790,N/A,,Web
2470163,N/A,Consent not provided,Web
2471653,N/A,,Web
2464826,N/A,,Web
2470907,N/A,Consent not provided,Web
2464746,N/A,Consent withdrawn,Web
2468428,N/A,N/A,Referral
2444892,No,N/A,Referral
2464653,N/A,,Web
2465150,N/A,,Web
2465341,N/A,Consent not provided,Web
2467946,N/A,,Web
2469072,N/A,,Web
2466284,N/A,,Web
2466944,N/A,Consent not provided,Web
2468021,N/A,,Web
2468128,N/A,,Web
2470656,N/A,,Web
2469575,N/A,,Web
2464635,N/A,Consent not provided,Web
2467151,N/A,,Web
2464918,N/A,,Web
2469080,N/A,,Web
2465697,N/A,Consent not provided,Web
2464431,N/A,Consent not provided,Web
2441805,No,N/A,Referral
2467837,N/A,,Web
2464360,N/A,,Web
2466958,N/A,,Web
2466774,N/A,,Web
2466897,N/A,,Web
2466820,N/A,Consent not provided,Web
2469230,N/A,,Web
2471336,N/A,,Web
2469560,N/A,,Web
2465801,N/A,N/A,Phone
2466878,N/A,Consent not provided,Web
2466370,N/A,Consent not provided,Web
2467824,N/A,N/A,Postal mail
2398409,No,Other,Web
2465173,N/A,N/A,Phone
2470859,N/A,,Web
2464347,N/A,,Web
2466459,N/A,N/A,Referral
2466509,N/A,,Web
2468059,N/A,,Web
1801271,Yes,Consent provided,Web
2468104,N/A,N/A,Phone
2469469,N/A,,Web
2467321,N/A,N/A,Referral
2467209,N/A,Consent not provided,Web
